date,inflation_rate,unemployment_rate,federal_funds_rate,market_yield_10_rate,ppi_rate,gdp_pc1,gdp_invest_pc1,sp500_yoy,consumer_senti_pc1,means_0,means_1,means_2,means_3,means_4,means_5,means_6,means_7,means_8,hidden_states
1973-01-01,3.64078,4.9,5.94,6.46,7.21649,7.56118,14.17362,0.1464040994595037,-11.74569,7.1815693477344285,5.717385304155073,7.799294484332164,7.700505713962988,9.18870267040585,2.070407598541575,-0.4769781793405891,-0.009690223004487686,-10.53459124230144,2
1973-02-01,3.86473,5.0,6.58,6.64,8.16327,7.56118,14.17362,0.084767745642641,-11.74569,7.1815693477344285,5.717385304155073,7.799294484332164,7.700505713962988,9.18870267040585,2.070407598541575,-0.4769781793405891,-0.009690223004487686,-10.53459124230144,2
1973-03-01,4.83092,4.9,7.09,6.71,10.71429,7.56118,14.17362,0.0438757571743966,-13.09255,7.1815693477344285,5.717385304155073,7.799294484332164,7.700505713962988,9.18870267040585,2.070407598541575,-0.4769781793405891,-0.009690223004487686,-10.53459124230144,2
1973-04-01,5.3012,5.0,7.12,6.67,10.94148,6.31955,12.64208,0.0134453257292226,-13.09255,7.1815693477344285,5.717385304155073,7.799294484332164,7.700505713962988,9.18870267040585,2.070407598541575,-0.4769781793405891,-0.009690223004487686,-10.53459124230144,2
1973-05-01,5.52885,4.9,7.84,6.85,12.65823,6.31955,12.64208,-0.0039565862257695,-13.09255,7.1815693477344285,5.717385304155073,7.799294484332164,7.700505713962988,9.18870267040585,2.070407598541575,-0.4769781793405891,-0.009690223004487686,-10.53459124230144,2
1973-06-01,5.9952,4.9,8.49,6.9,14.60957,6.31955,12.64208,-0.0301423895620169,-24.36975,7.1815693477344285,5.717385304155073,7.799294484332164,7.700505713962988,9.18870267040585,2.070407598541575,-0.4769781793405891,-0.009690223004487686,-10.53459124230144,2
1973-07-01,5.74163,4.8,10.4,7.13,12.25,4.77135,7.03783,-0.0128043355579456,-24.36975,7.1815693477344285,5.717385304155073,7.799294484332164,7.700505713962988,9.18870267040585,2.070407598541575,-0.4769781793405891,-0.009690223004487686,-10.53459124230144,2
1973-08-01,7.39857,4.8,10.5,7.4,18.45387,4.77135,7.03783,-0.0649310516597833,-24.36975,7.1815693477344285,5.717385304155073,7.799294484332164,7.700505713962988,9.18870267040585,2.070407598541575,-0.4769781793405891,-0.009690223004487686,-10.53459124230144,2
1973-09-01,7.36342,4.8,10.78,7.09,16.16915,4.77135,7.03783,-0.0345941574791935,-15.65601,7.1815693477344285,5.717385304155073,7.799294484332164,7.700505713962988,9.18870267040585,2.070407598541575,-0.4769781793405891,-0.009690223004487686,-10.53459124230144,2
1973-10-01,8.05687,4.6,10.01,6.79,15.46135,4.02406,10.1597,0.0025704112096327,-15.65601,7.1815693477344285,5.717385304155073,7.799294484332164,7.700505713962988,9.18870267040585,2.070407598541575,-0.4769781793405891,-0.009690223004487686,-10.53459124230144,2
1973-11-01,8.25472,4.8,10.03,6.73,15.38462,4.02406,10.1597,-0.1131202248718291,-15.65601,7.1815693477344285,5.717385304155073,7.799294484332164,7.700505713962988,9.18870267040585,2.070407598541575,-0.4769781793405891,-0.009690223004487686,-10.53459124230144,2
1973-12-01,8.94118,4.9,9.95,6.74,15.32847,4.02406,10.1597,-0.1933095941243113,-24.54212,7.1815693477344285,5.717385304155073,7.799294484332164,7.700505713962988,9.18870267040585,2.070407598541575,-0.4769781793405891,-0.009690223004487686,-10.53459124230144,2
1974-01-01,9.60187,5.1,9.65,6.99,17.78846,0.639,-1.88141,-0.1884102849185374,-24.54212,7.1815693477344285,5.717385304155073,7.799294484332164,7.700505713962988,9.18870267040585,2.070407598541575,-0.4769781793405891,-0.009690223004487686,-10.53459124230144,2
1974-02-01,10.0,5.2,8.97,6.96,17.92453,0.639,-1.88141,-0.1814145823512731,-24.54212,7.1815693477344285,5.717385304155073,7.799294484332164,7.700505713962988,9.18870267040585,2.070407598541575,-0.4769781793405891,-0.009690223004487686,-10.53459124230144,2
1974-03-01,10.13825,5.1,9.35,7.21,16.58986,0.639,-1.88141,-0.1332237366072293,-6.36364,7.1815693477344285,5.717385304155073,7.799294484332164,7.700505713962988,9.18870267040585,2.070407598541575,-0.4769781793405891,-0.009690223004487686,-10.53459124230144,2
1974-04-01,10.06865,5.1,10.51,7.51,16.97248,-0.20826,-6.2684,-0.1615776057294158,-6.36364,7.1815693477344285,5.717385304155073,7.799294484332164,7.700505713962988,9.18870267040585,2.070407598541575,-0.4769781793405891,-0.009690223004487686,-10.53459124230144,2
1974-05-01,10.70615,5.1,11.31,7.58,16.40449,-0.20826,-6.2684,-0.1637040397049236,-6.36364,7.1815693477344285,5.717385304155073,7.799294484332164,7.700505713962988,9.18870267040585,2.070407598541575,-0.4769781793405891,-0.009690223004487686,-10.53459124230144,2
1974-06-01,10.85973,5.4,11.93,7.54,14.28571,-0.20826,-6.2684,-0.1428886111276224,-10.55556,7.1815693477344285,5.717385304155073,7.799294484332164,7.700505713962988,9.18870267040585,2.070407598541575,-0.4769781793405891,-0.009690223004487686,-10.53459124230144,2
1974-07-01,11.53846,5.5,12.92,7.81,20.26726,-0.62904,-7.78265,-0.217464448246245,-10.55556,7.1815693477344285,5.717385304155073,7.799294484332164,7.700505713962988,9.18870267040585,2.070407598541575,-0.4769781793405891,-0.009690223004487686,-10.53459124230144,2
1974-08-01,10.88889,5.5,12.01,8.04,17.68421,-0.62904,-7.78265,-0.2675788155208434,-10.55556,7.1815693477344285,5.717385304155073,7.799294484332164,7.700505713962988,9.18870267040585,2.070407598541575,-0.4769781793405891,-0.009690223004487686,-10.53459124230144,2
1974-09-01,11.9469,5.9,11.34,8.04,19.70021,-0.62904,-7.78265,-0.3549279905503038,-22.22222,7.1815693477344285,5.717385304155073,7.799294484332164,7.700505713962988,9.18870267040585,2.070407598541575,-0.4769781793405891,-0.009690223004487686,-10.53459124230144,2
1974-10-01,11.84211,6.0,10.06,7.9,22.89417,-1.94576,-10.41394,-0.3678723329748697,-22.22222,7.1815693477344285,5.717385304155073,7.799294484332164,7.700505713962988,9.18870267040585,2.070407598541575,-0.4769781793405891,-0.009690223004487686,-10.53459124230144,2
1974-11-01,12.20044,6.6,9.45,7.68,23.44086,-1.94576,-10.41394,-0.2969225580689112,-22.22222,7.1815693477344285,5.717385304155073,7.799294484332164,7.700505713962988,9.18870267040585,2.070407598541575,-0.4769781793405891,-0.009690223004487686,-10.53459124230144,2
